iter	Passed	Remaining
777	8982	2563
778	8993	2551
779	9005	2539
780	9016	2528
781	9028	2516
782	9039	2505
783	9052	2493
784	9064	2482
785	9075	2470
786	9087	2459
787	9098	2447
788	9110	2436
789	9121	2424
790	9132	2413
791	9144	2401
792	9156	2390
793	9167	2378
794	9179	2366
795	9190	2355
796	9202	2343
797	9213	2332
798	9225	2320
799	9236	2309
800	9247	2297
801	9259	2285
802	9270	2274
803	9282	2262
804	9293	2251
805	9305	2239
806	9317	2228
807	9328	2216
808	9340	2205
809	9351	2193
810	9363	2182
811	9373	2170
812	9385	2158
813	9397	2147
814	9408	2135
815	9419	2124
816	9430	2112
817	9442	2100
818	9453	2089
819	9464	2077
820	9476	2066
821	9487	2054
822	9499	2043
823	9511	2031
824	9522	2019
825	9533	2008
826	9545	1996
827	9556	1985
828	9567	1973
829	9578	1961
830	9589	1950
831	9601	1938
832	9612	1927
833	9623	1915
834	9635	1903
835	9646	1892
836	9658	1880
837	9670	1869
838	9680	1857
839	9692	1846
840	9704	1834
841	9716	1823
842	9727	1811
843	9739	1800
844	9750	1788
845	9762	1777
846	9773	1765
847	9785	1754
848	9796	1742
849	9808	1730
850	9819	1719
851	9831	1707
852	9842	1696
853	9854	1684
854	9865	1673
855	9877	1661
856	9888	1650
857	9900	1638
858	9911	1626
859	9923	1615
860	9934	1603
861	9946	1592
862	9958	1580
863	9969	1569
864	9981	1557
865	9992	1546
866	10003	1534
867	10014	1523
868	10025	1511
869	10037	1499
870	10049	1488
871	10061	1476
872	10073	1465
873	10084	1453
874	10095	1442
875	10107	1430
876	10119	1419
877	10130	1407
878	10142	1396
879	10153	1384
880	10165	1373
881	10176	1361
882	10187	1349
883	10199	1338
884	10211	1326
885	10223	1315
886	10234	1303
887	10245	1292
888	10257	1280
889	10268	1269
890	10280	1257
891	10291	1246
892	10303	1234
893	10314	1222
894	10325	1211
895	10336	1199
896	10347	1188
897	10359	1176
898	10371	1165
899	10383	1153
900	10394	1142
901	10405	1130
902	10417	1119
903	10428	1107
904	10440	1095
905	10452	1084
906	10463	1072
907	10475	1061
908	10486	1049
909	10498	1038
910	10509	1026
911	10521	1015
912	10533	1003
913	10545	992
914	10556	980
915	10567	969
916	10578	957
917	10590	946
918	10602	934
919	10614	922
920	10625	911
921	10636	899
922	10648	888
923	10660	876
924	10671	865
925	10683	853
926	10694	842
927	10705	830
928	10717	819
929	10728	807
930	10739	795
931	10750	784
932	10762	772
933	10774	761
934	10786	749
935	10797	738
936	10809	726
937	10821	715
938	10832	703
939	10844	692
940	10856	680
941	10868	669
942	10879	657
943	10892	646
944	10903	634
945	10915	623
946	10926	611
947	10938	599
948	10949	588
949	10960	576
950	10972	565
951	10983	553
952	10995	542
953	11007	530
954	11019	519
955	11031	507
956	11042	496
957	11054	484
958	11066	473
959	11078	461
960	11090	450
961	11101	438
962	11113	427
963	11125	415
964	11136	403
965	11147	392
966	11159	380
967	11170	369
968	11182	357
969	11194	346
970	11205	334
971	11216	323
972	11227	311
973	11239	300
974	11251	288
975	11263	276
976	11274	265
977	11286	253
978	11299	242
979	11311	230
980	11323	219
981	11335	207
982	11346	196
983	11357	184
984	11368	173
985	11381	161
986	11392	150
987	11404	138
988	11416	126
989	11427	115
990	11438	103
991	11450	92
992	11461	80
993	11473	69
994	11485	57
995	11496	46
996	11508	34
997	11520	23
998	11531	11
999	11543	0
